timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694640459.194742,3,130,16370,0,0,71,8503,0,0,5,0
1694640459.194742,3,29,3147,0,0,174,22049,0,0,5,0
1694640459.194742,3,25,2919,0,0,174,21838,0,0,5,0
1694640459.194742,3,25,2919,0,0,174,21838,0,0,5,0
1694640459.194742,3,0,0,0,173,0,0,0,0,5,0
1694640459.195807,2,133,16290,0,0,67,8350,0,0,5,0
1694640459.195807,2,25,2871,0,0,174,21556,0,0,5,0
1694640459.195807,2,25,2919,0,0,171,21179,0,0,5,0
1694640459.195807,2,26,2989,0,0,169,20896,0,0,5,0
1694640459.195807,2,0,0,0,169,0,0,0,0,5,0
1694640459.197493,8,9,782,0,0,190,23785,0,0,5,0
1694640459.197493,8,12,1052,0,0,189,23715,0,0,5,0
1694640459.197493,8,177,22268,0,0,25,2919,0,0,5,0
1694640459.197493,8,0,0,0,173,0,0,0,0,5,0
1694640459.197605,9,10,852,0,0,189,23961,0,0,5,0
1694640459.197605,9,11,942,0,0,190,24011,0,0,5,0
1694640459.197605,9,174,21838,0,0,26,3009,0,0,5,0
1694640459.197605,9,0,0,0,174,0,0,0,0,5,0
1694640459.197703,7,10,852,0,0,179,22032,0,0,5,0
1694640459.197703,7,10,892,0,0,179,22032,0,0,5,0
1694640459.197703,7,169,20896,0,0,26,2989,0,0,5,0
1694640459.197703,7,0,0,0,164,0,0,0,0,5,0
1694640459.198004,13,10,852,0,0,194,24391,0,0,5,0
1694640459.198004,13,9,822,0,0,194,24351,0,0,5,0
1694640459.198004,13,174,21838,0,0,25,2919,0,0,5,0
1694640459.198004,13,0,0,0,178,0,0,0,0,5,0
1694640459.201072,10,10,852,0,0,193,24567,0,0,5,0
1694640459.201072,10,10,852,0,0,195,24727,0,0,5,0
1694640459.201072,10,180,22784,0,0,24,2829,0,0,5,0
1694640459.201072,10,0,0,0,178,0,0,0,0,5,0
1694640459.201237,5,12,968,0,0,188,23449,0,0,4,0
1694640459.201237,5,12,1052,0,0,188,23425,0,0,4,0
1694640459.201237,5,174,21556,0,0,26,2945,0,0,4,0
1694640459.201237,5,0,0,0,171,0,0,0,0,4,0
1694640459.201322,6,10,892,0,0,185,22909,0,0,5,0
1694640459.201322,6,11,942,0,0,185,22929,0,0,5,0
1694640459.201322,6,171,21179,0,0,25,2919,0,0,5,0
1694640459.201322,6,0,0,0,169,0,0,0,0,5,0
1694640459.201424,1,67,8350,0,0,133,16290,0,0,5,0
1694640459.201424,1,71,8503,0,0,130,16370,0,0,5,0
1694640459.201424,1,66,8182,0,0,133,16575,0,0,5,0
1694640459.201424,1,0,0,0,170,0,0,0,0,5,0
1694640459.201552,11,14,1152,0,0,189,23826,0,0,5,0
1694640459.201552,11,14,1148,0,0,190,23919,0,0,5,0
1694640459.201552,11,174,22049,0,0,29,3147,0,0,5,0
1694640459.201552,11,0,0,0,172,0,0,0,0,5,0
1694640459.201627,4,133,16575,0,0,66,8182,0,0,5,0
1694640459.201627,4,25,2919,0,0,177,22268,0,0,5,0
1694640459.201627,4,26,3009,0,0,174,21838,0,0,5,0
1694640459.201627,4,24,2829,0,0,180,22784,0,0,5,0
1694640459.201627,4,0,0,0,175,0,0,0,0,4,0
1694640459.201699,12,13,1102,0,0,189,23904,0,0,4,0
1694640459.201699,12,9,782,0,0,190,23974,0,0,4,0
1694640459.201699,12,174,21838,0,0,25,2919,0,0,4,0
1694640459.201699,12,0,0,0,173,0,0,0,0,4,0
1694640469.202356,13,11,922,0,0,247,28767,0,0,15,0
1694640469.202356,13,11,962,0,0,246,28657,0,0,15,0
1694640469.202356,13,222,25790,0,0,30,3306,0,0,15,0
1694640469.202356,13,0,0,0,229,0,0,0,0,15,0
1694640469.209419,7,11,922,0,0,234,26622,0,0,15,0
1694640469.209419,7,11,962,0,0,234,26622,0,0,15,0
1694640469.209419,7,220,25132,0,0,30,3306,0,0,15,0
1694640469.209419,7,0,0,0,217,0,0,0,0,15,0
1694640469.209725,1,109462,7229897,0,0,344520,18532493085,0,0,15,0
1694640469.209725,1,344438,18532483639,0,0,109545,7239576,0,0,15,0
1694640469.209725,1,84,9664,0,0,168,19432,0,0,15,0
